Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2398.72	-2477.676	78.95525	1.15792	0.416303	0.629284	0.370716	2.265942
6	-2402.712	-2481.591	78.87917	1.279051	0.3162371	0.650109	0.349891	2.368087
12	-2404.375	-2481.232	76.85789	0.9745875	0.3820172	0.695511	0.304489	3.68214
18	-2401.831	-2479.084	77.2531	1.049549	0.4678122	0.695511	0.304489	3.315043
24	-2393.149	-2471.361	78.2113	0.9373641	0.3146436	0.634066	0.365934	2.99151
30	-2392.157	-2470.68	78.52278	1.196313	0.3322991	0.535028	0.464972	2.620496
36	-2395.359	-2474.269	78.90983	1.196313	0.385302	0.694069	0.305931	2.308632
42	-2393.526	-2471.963	78.43735	1.003433	0.4151945	0.68956	0.31044	2.688712
48	-2396.571	-2474.972	78.40051	1.082902	0.4529445	0.68956	0.31044	2.620037
54	-2407.465	-2486.698	79.23305	1.37708	0.4529445	0.504789	0.495211	1.894585
60	-2402.799	-2482.111	79.3128	1.333445	0.4649743	0.635557	0.364443	1.855567
66	-2404.956	-2483.559	78.60284	1.391815	0.775924	0.638997	0.361003	1.993909
72	-2392.85	-2470.781	77.93064	0.9828133	0.3718204	0.687657	0.312343	3.05921
78	-2404.587	-2482.465	77.87819	0.9593519	0.3569039	0.752564	0.247436	3.122745
84	-2400.868	-2479.056	78.18819	0.9536955	0.5269033	0.667523	0.332477	2.753581
90	-2403.712	-2482.134	78.42159	1.24285	0.5117896	0.50263	0.49737	2.445054
96	-2399.822	-2478.676	78.85474	1.028429	0.389131	0.653324	0.346676	2.445054
102	-2401.34	-2479.97	78.63028	1.062059	0.389131	0.697003	0.302997	2.564268
108	-2396.74	-2475.616	78.87569	1.218841	0.449866	0.887105	0.112895	2.238528
114	-2405.159	-2484.408	79.24914	1.273812	0.3850064	0.868426	0.131574	2.038235
120	-2397.351	-2476.299	78.94801	1.33308	0.5101429	0.707533	0.292467	2.049936
126	-2393.259	-2472.751	79.49152	1.397704	0.5761266	0.785187	0.214813	1.55676
132	-2393.448	-2472.881	79.43317	1.397704	0.5480753	0.731945	0.268055	1.630406
138	-2402.15	-2481.696	79.54605	1.394414	0.4393135	0.788158	0.211842	1.682147
144	-2411.478	-2491.16	79.68236	1.420119	0.6040523	0.809471	0.190529	1.36321
150	-2400.642	-2480.48	79.83842	1.687561	0.5462613	0.809471	0.190529	1.076881
156	-2398.445	-2478.305	79.86031	1.65808	0.5462613	0.752331	0.247669	1.083949
162	-2407.369	-2486.374	79.00484	1.242725	0.4232008	0.841155	0.158845	2.170884
168	-2408.327	-2486.84	78.51327	1.17798	0.5993226	0.595952	0.404048	2.343059
174	-2401.42	-2480.221	78.80032	1.246712	0.4099038	0.595952	0.404048	2.315963
180	-2409.02	-2487.774	78.75345	1.020973	0.3483458	0.717227	0.282773	2.564875
186	-2412.717	-2489.565	76.84757	1.058904	0.5015073	0.841332	0.158668	3.513767
192	-2402.648	-2480.496	77.84802	0.9569861	0.4151574	0.680591	0.319409	3.07352
198	-2398.445	-2475.977	77.53189	0.9698176	0.3655979	0.712618	0.287382	3.310957
204	-2412.327	-2492.377	80.04956	1.903753	0.4699764	0.806424	0.193576	0.7339427
210	-2397.714	-2475.707	77.99352	0.9698176	0.3499106	0.771572	0.228428	3.056439
216	-2405.809	-2484.282	78.47292	1.098309	0.3331973	0.736163	0.263837	2.710294
222	-2408.958	-2488.718	79.75968	1.849377	0.6554265	0.782634	0.217366	0.8191969
228	-2403.456	-2483.008	79.55174	1.849377	0.7268227	0.727134	0.272866	0.9506944
234	-2404.178	-2484.057	79.87982	1.769125	0.549343	0.64648	0.35352	0.9506944
