Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-2394.313	-2472.88	78.5671	0.027199	0.0947945	0.0673221	0.0280442	0.102446	0.00392042	0.019905	0.0044673	0.0340879	0.00455975	0.0645611	0.0032654	0.0187134	0.0247278	0.0595045	0.0553633	0.0333237	0.077945	0.0229283	0.0333169	0.0557659	0.00183091	0.0305005	0.127045	0.095406	0.0654972	0.0500812	0.0100367	0.122209	0.0517754	0.12252	0.0422394	0.0991893	0.0341242	0.00595337	0.00660814	0.064137	0.00771838	0.0899806	0.0549061	0.0442561	0.0578507	0.0212542	0.0507944	0.0679826	0.0406635	0.0836253	0.0323683	0.0513602	0.0296106	0.0199009	0.0608516	0.0253245	0.0786142	0.0178014	0.828446	1.0938	0.244221	0.502829	0.806954	1.23923	1.98875	4.09465	1.019296	0.4141191	0.0104604	0.0364569	0.0258913	0.0107855	0.0393998	0.00150775	0.00765522	0.00171807	0.0131098	0.00175363	0.0248295	0.00125584	0.00719698	0.00951004	0.0228848	0.0212921	0.0128159	0.0299768	0.00881799	0.0128133	0.0214469	0.000704149	0.0117302	0.04886	0.0366921	0.0251895	0.0192607	0.00386002	0.0470004	0.0199122	0.0471199	0.0162448	0.0381471	0.0131238	0.0022896	0.00254142	0.0246664	0.0029684	0.0346055	0.0211163	0.0170204	0.0222487	0.00817414	0.019535	0.0261453	0.0156387	0.0321614	0.0124485	0.0197526	0.0113879	0.00765366	0.0234028	0.00973951	0.0302342	0.00684621	0.677963	0.322037	0.6779631	2.600179
36	-2390.423	-2469.165	78.74237	0.0127262	0.0810236	0.059844	0.0390619	0.0755192	0.00474766	0.00448339	0.0206184	0.0225498	0.000897991	0.0624606	0.00658115	0.0116827	0.0148091	0.0779225	0.0355911	0.0536641	0.0595891	0.0289759	0.0545842	0.0675423	0.000311899	0.0156538	0.118578	0.0727975	0.0512781	0.0687507	0.00364677	0.119005	0.0346594	0.0873732	0.0703693	0.0612625	0.0112382	0.00690882	0.0054907	0.0323112	0.0263972	0.0821021	0.0568861	0.0467365	0.127886	0.0100958	0.0523518	0.0605539	0.0356765	0.0139327	0.0668083	0.0697	0.0334587	0.0401216	0.0776744	0.0322773	0.0704675	0.0732265	0.722003	1.152	0.218799	0.476583	0.79357	1.26013	2.09827	4.57041	1.098778	0.3426778	0.00502839	0.0320142	0.0236457	0.0154342	0.0298393	0.00187591	0.00177148	0.00814679	0.00890993	0.000354816	0.0246796	0.00260036	0.00461609	0.0058514	0.0307889	0.0140628	0.0212039	0.023545	0.011449	0.0215674	0.0266875	0.000123238	0.00618515	0.0468528	0.0287639	0.0202611	0.0271649	0.00144092	0.0470217	0.0136947	0.0345231	0.0278045	0.0242062	0.00444045	0.00272983	0.0021695	0.0127669	0.0104301	0.0324404	0.022477	0.0184666	0.0505307	0.00398909	0.0206853	0.0239262	0.0140966	0.00550512	0.0263974	0.02754	0.0132203	0.0158529	0.0306909	0.0127535	0.0278433	0.0289334	0.6087	0.3913	0.6086995	2.530864
72	-2409.784	-2488.72	78.93636	0.00946978	0.0998369	0.0434484	0.038758	0.0512388	0.00807509	0.00463002	0.038273	0.0375211	0.0202298	0.0395497	0.00405993	0.0190996	0.0348186	0.0952799	0.0478065	0.0303867	0.101624	0.036928	0.0428164	0.0501816	0.0170424	0.0649943	0.075477	0.0275608	0.0504346	0.0398954	0.0178703	0.106094	0.000942781	0.0901664	0.0279515	0.0349673	0.0550811	0.0338798	0.0502218	0.0101685	0.0314002	0.0467423	0.0233704	0.030174	0.0159057	0.018757	0.0443013	0.00386533	0.0400536	0.0436712	0.0495587	0.00119552	0.0923564	0.0207264	0.0388004	0.0462477	0.0192411	0.0533476	0.936778	1.03457	0.196543	0.452291	0.780723	1.28086	2.21097	5.08793	1.17634	0.4950817	0.00435093	0.0458705	0.0199626	0.0178075	0.0235419	0.00371014	0.00212728	0.0175847	0.0172392	0.00929466	0.0181713	0.00186535	0.00877539	0.0159976	0.0437768	0.0219649	0.0139613	0.0466914	0.0169667	0.0196722	0.0230561	0.00783019	0.0298619	0.0346782	0.0126629	0.0231724	0.0183301	0.00821058	0.0487452	0.000433165	0.0414273	0.0128424	0.0160659	0.0253073	0.0155662	0.0230746	0.00467195	0.014427	0.021476	0.0107376	0.0138636	0.00730796	0.00861798	0.0203544	0.00177594	0.0184028	0.0200649	0.02277	0.000549286	0.0424336	0.00952286	0.017827	0.0212487	0.00884042	0.0245108	0.855415	0.144585	0.8554151	2.176494
108	-2402.797	-2482.438	79.64088	0.00934084	0.0719551	0.0665332	0.0338092	0.0845465	0.0153699	0.00295263	0.00886164	0.0528413	0.00939434	0.0511152	0.00289243	0.00950283	0.00580892	0.0447739	0.0550311	0.0426182	0.0312645	0.0160261	0.035155	0.0787255	0.0180456	0.0355048	0.0712277	0.0517443	0.0569379	0.0593585	0.00620224	0.0727834	0.00240031	0.0592631	0.0439133	0.0234854	0.0319227	0.0262641	0.0129094	0.0182452	0.0572884	0.0054458	0.0371623	0.0168486	0.0361602	0.0279788	0.0213994	0.024387	0.0229012	0.0329303	0.0463878	0.0253289	0.0575808	0.00186767	0.0631317	0.0505927	0.0121612	0.0121125	0.638787	1.1975	0.15813	0.406777	0.755312	1.32396	2.45835	6.32393	1.333585	0.2916621	0.00499406	0.0384706	0.0355718	0.018076	0.0452026	0.00821747	0.00157861	0.00473785	0.0282515	0.00502266	0.0273286	0.00154643	0.00508066	0.00310573	0.0239382	0.0294222	0.0227857	0.0167155	0.00856829	0.0187955	0.0420904	0.00964805	0.0189825	0.0380817	0.027665	0.0304417	0.0317359	0.00331601	0.0389134	0.00128332	0.0316849	0.0234782	0.0125564	0.0170674	0.014042	0.00690196	0.00975475	0.0306291	0.00291158	0.0198687	0.00900806	0.019333	0.0149588	0.0114412	0.0130385	0.0122441	0.0176061	0.0248011	0.013542	0.0307854	0.000998544	0.0337532	0.0270493	0.00650195	0.00647593	0.711837	0.288163	0.711837	1.870392
144	-2399.601	-2477.895	78.29459	0.0131872	0.157853	0.0472351	0.0451185	0.0657255	0.000987433	0.000789609	0.0247311	0.0224569	0.00890012	0.074866	0.00535888	0.0260665	0.0388371	0.0289346	0.0631838	0.0518851	0.0530462	0.0326712	0.0933407	0.0833678	0.00452439	0.0300787	0.0678239	0.0782662	0.0786397	0.0866523	0.0205727	0.118729	0.00859841	0.0704543	0.0723107	0.0690848	0.05453	0.0783043	0.0529973	0.0376103	0.113574	0.00542346	0.052133	0.0311123	0.0838104	0.0587943	0.0848188	0.0167802	0.00171883	0.0920111	0.0677617	0.0716018	0.12714	0.00134083	0.045229	0.0677243	0.0190048	0.0243947	0.679162	1.17542	0.213867	0.471313	0.790822	1.26451	2.12173	4.67581	1.115262	0.315921	0.00465634	0.0557372	0.0166785	0.0159312	0.0232074	0.000348659	0.000278808	0.00873246	0.00792943	0.0031426	0.0264349	0.0018922	0.00920397	0.0137132	0.0102167	0.0223099	0.0183204	0.0187304	0.0115361	0.0329582	0.0294368	0.00159754	0.0106206	0.0239483	0.0276355	0.0277674	0.0305966	0.00726412	0.0419226	0.00303606	0.0248771	0.0255326	0.0243936	0.0192543	0.0276489	0.0187131	0.01328	0.0401024	0.001915	0.018408	0.0109856	0.0295931	0.02076	0.0299492	0.00592501	0.000606913	0.0324887	0.0239264	0.0252823	0.0448926	0.000473441	0.0159702	0.0239132	0.0067105	0.00861368	0.709759	0.290241	0.709759	2.832093
180	-2400.039	-2476.558	76.51872	0.0078565	0.0949035	0.105138	0.140012	0.0302964	0.00158578	0.00785354	0.00891384	0.0275668	0.0263723	0.097033	0.00138835	0.034263	0.0327656	0.147265	0.0827371	0.0402807	0.12277	0.0455974	0.0893851	0.105823	0.00201151	0.0523446	0.15161	0.125439	0.121086	0.0352802	0.00342257	0.177531	0.0188204	0.150488	0.0559841	0.0835116	0.0867237	0.104145	0.144506	0.0164477	0.144623	0.0308422	0.0471144	0.0155268	0.0931076	0.0762862	0.0377736	0.0333367	0.00101018	0.159301	0.101786	0.0704976	0.147928	0.000279798	0.101376	0.0743643	0.00654201	0.107789	0.861842	1.07554	0.267543	0.525701	0.81823	1.22215	1.90222	3.73771	0.9533473	0.4381274	0.00205203	0.0247878	0.0274609	0.0365696	0.0079131	0.00041419	0.00205126	0.0023282	0.00720015	0.00688817	0.025344	0.000362622	0.00894912	0.00855801	0.038464	0.02161	0.0105209	0.0320661	0.0119095	0.0233464	0.0276398	0.000525385	0.0136718	0.039599	0.0327632	0.0316265	0.0092148	0.000893938	0.0463692	0.00491569	0.0393057	0.0146224	0.0218123	0.0226513	0.0272015	0.0377434	0.00429597	0.0377741	0.00805564	0.0123058	0.00405544	0.0243187	0.0199251	0.00986605	0.00870718	0.000263848	0.0416077	0.0265854	0.0184132	0.0386372	7.30802e-05	0.0264782	0.0194231	0.0017087	0.0281533	0.735726	0.264274	0.7357261	3.828642
216	-2398.369	-2475.941	77.57251	0.0283268	0.0835595	0.0891821	0.123313	0.00852129	0.00883447	0.00350298	0.073508	0.0199642	0.0484161	0.119866	0.018753	0.044414	0.00084389	0.0418699	0.0569709	0.0631717	0.083101	0.0244995	0.0635397	0.0605092	0.00081099	0.0154786	0.127423	0.0698128	0.0768501	0.0731689	0.00177998	0.11361	0.00650956	0.0648348	0.0454381	0.0151661	0.0759373	0.0518766	0.0845826	0.119906	0.0185283	0.00582862	0.134823	0.0570863	0.0804514	0.109228	0.00172301	0.00914291	0.0484223	0.0499891	0.066898	0.0161006	0.0541059	0.099157	0.101949	0.113509	0.048436	0.0413561	1.01481	0.991902	0.249555	0.508155	0.809611	1.23516	1.9679	4.00714	1.003676	0.5593909	0.00924326	0.0272662	0.0291008	0.0402382	0.00278057	0.00288276	0.00114305	0.0239863	0.00651449	0.0157986	0.0391133	0.00611927	0.0144926	0.000275368	0.0136625	0.0185901	0.0206134	0.0271165	0.00799437	0.0207335	0.0197446	0.000264633	0.00505078	0.0415791	0.0227805	0.0250768	0.0238756	0.000580822	0.0370719	0.00212412	0.0211561	0.0148268	0.00494881	0.024779	0.0169278	0.0276	0.0391264	0.00604594	0.00190192	0.0439938	0.0186277	0.0262519	0.035642	0.000562233	0.00298341	0.0158006	0.0163119	0.0218294	0.00525375	0.0176552	0.0323557	0.0332667	0.0370391	0.0158051	0.0134948	0.608593	0.391407	0.6085927	3.064588
252	-2404.446	-2481.402	76.95641	0.0475123	0.0955315	0.0831053	0.0148646	0.108539	0.0699269	0.0247214	0.0570037	0.0339624	0.0212656	0.121113	0.000725451	0.0314258	0.0180127	0.0692742	0.0947063	0.0812627	0.0866633	0.05003	0.061495	0.0716059	0.00840802	0.019199	0.112025	0.104851	0.099381	0.085758	0.00471802	0.117618	0.174319	0.0349249	0.0843558	0.0640613	0.00758319	0.0407036	0.125176	0.00185506	0.0988619	0.0601455	0.0630641	0.0904474	0.130864	0.0433547	0.00329875	0.0885496	0.00188243	0.0503035	0.0898323	0.0780014	0.058982	0.00242718	0.104517	0.0630717	0.110917	0.0568062	0.823281	1.09662	0.219967	0.477822	0.794213	1.25911	2.09283	4.54614	1.094927	0.4104777	0.0134863	0.0271164	0.0235893	0.0042193	0.0308085	0.0198486	0.00701711	0.0161804	0.00964016	0.0060362	0.0343776	0.000205918	0.00892015	0.00511287	0.0196634	0.0268822	0.0230663	0.0245992	0.0142009	0.0174552	0.0203252	0.0023866	0.00544959	0.031798	0.0297617	0.0282091	0.0243423	0.0013392	0.0333856	0.0494802	0.00991338	0.0239442	0.0181837	0.00215247	0.0115536	0.0355309	0.000526555	0.0280618	0.0170722	0.0179006	0.0256733	0.0371456	0.0123062	0.000936345	0.0251346	0.000534323	0.0142786	0.0254987	0.0221405	0.0167419	0.000688952	0.029667	0.0179028	0.0314837	0.0161243	0.685897	0.314103	0.6858975	3.52301
288	-2397.842	-2476.059	78.21768	0.0432386	0.0514001	0.0716459	0.0271565	0.0204128	0.0413601	0.0423007	0.0183482	0.0137748	0.0128792	0.0940433	0.000614174	0.0293827	0.0040721	0.0714525	0.0518729	0.0509502	0.0705486	0.0495142	0.0324156	0.0334399	0.0058372	0.0169741	0.104328	0.0852275	0.0925528	0.0286427	0.0131593	0.126169	0.0749255	0.0388004	0.0785599	0.0350307	0.0226546	0.0307188	0.121915	0.00270188	0.0344277	0.0114015	0.0329324	0.0383309	0.0725501	0.0305963	0.0226731	0.0746314	0.0103982	0.0584068	0.0629536	0.118713	0.117481	0.0635816	0.0742743	0.0133385	0.114434	0.0739927	0.812762	1.10237	0.197745	0.453637	0.781447	1.27968	2.20441	5.05703	1.171935	0.4031185	0.0158144	0.0187994	0.0262042	0.00993239	0.00746591	0.0151273	0.0154713	0.0067108	0.00503809	0.00471051	0.034396	0.000224632	0.0107466	0.00148935	0.0261335	0.0189723	0.0186348	0.0258029	0.0181096	0.0118559	0.0122305	0.00213493	0.00620821	0.0381574	0.0311716	0.0338508	0.010476	0.00481298	0.0461457	0.0274037	0.0141911	0.028733	0.0128123	0.00828583	0.0112353	0.04459	0.000988204	0.0125918	0.00417006	0.0120449	0.0140194	0.0265349	0.0111905	0.0082926	0.0272962	0.00380311	0.021362	0.023025	0.043419	0.0429681	0.0232547	0.0271655	0.00487849	0.0418537	0.0270625	0.693021	0.306979	0.6930207	2.734137
324	-2402.413	-2481.86	79.4472	0.0122053	0.0474611	0.0449523	0.0292514	0.0583132	0.0200561	0.013002	0.0293059	0.0105836	0.0294703	0.0398432	0.00292639	0.0112266	0.014212	0.0685655	0.0325917	0.0339565	0.0535862	0.0161219	0.0437844	0.0249776	0.0131424	0.0167382	0.0590646	0.0455002	0.03442	0.0236477	0.00155299	0.0886884	0.0392383	0.0378787	0.077586	0.0285942	0.0201406	0.0187728	0.054899	0.0386114	0.0121293	0.146261	0.0337981	0.036302	0.0467967	0.0359457	0.00299257	0.0464245	0.00305248	0.0137886	0.055457	0.0225351	0.0118386	0.0116361	0.0600607	0.00677609	0.054795	0.0343112	0.819409	1.09874	0.169758	0.421101	0.763511	1.30974	2.37473	5.89074	1.282277	0.4077601	0.00652772	0.0253834	0.0240416	0.0156444	0.0311874	0.0107265	0.00695382	0.0156736	0.00566039	0.0157615	0.0213092	0.00156511	0.00600424	0.00760095	0.0366706	0.0174309	0.0181608	0.0286593	0.00862242	0.023417	0.0133586	0.0070289	0.00895202	0.0315893	0.0243347	0.0184087	0.0126474	0.000830576	0.0474328	0.0209857	0.0202585	0.0414949	0.0152929	0.0107717	0.0100402	0.0293614	0.0206504	0.00648704	0.0782239	0.0180761	0.0194152	0.0250281	0.0192247	0.0016005	0.024829	0.00163254	0.00737451	0.0296598	0.0120524	0.0063316	0.00622326	0.032122	0.00362403	0.0293058	0.0183505	0.646554	0.353446	0.6465542	1.869769
